,zipcode,<20,20-29,30-39,40-49,50-59,60-69,70-79,80+,White,Black,Left Blank,Other,Asian,Hispanic,NH/PI*,AI/AN**,Male,Female,Unknown/Left Blank
27,60048,0,7,0,11,9,6,0,0,26,0,7,0,0,0,0,0,22,19,0
28,60050,0,0,0,8,0,0,7,0,17,0,0,0,0,6,0,0,15,13,0
29,60051,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,10,8,0
30,60053,0,0,16,16,15,12,0,0,22,0,15,13,14,0,0,0,45,22,0
31,60056,0,10,20,15,22,11,7,0,26,0,28,7,12,15,0,0,45,43,0
32,60060,0,8,6,11,14,13,0,0,17,0,8,0,0,17,0,0,26,27,0
33,60061,0,0,0,0,11,0,0,7,23,0,7,0,0,0,0,0,20,16,0
34,60062,0,15,0,12,16,13,8,7,44,0,14,7,0,0,0,0,39,34,0
35,60064,8,15,9,11,17,13,0,0,16,18,17,6,0,23,0,0,35,46,0
36,60067,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,14,0
37,60068,0,0,15,14,9,16,7,23,57,0,12,6,9,0,0,0,46,42,0
38,60069,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,9,7,0
39,60070,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,11,8,0
40,60073,0,18,23,28,19,10,13,0,29,12,26,8,0,40,0,0,59,58,0
41,60074,0,8,10,7,11,8,0,0,10,0,10,8,0,16,0,0,21,28,0
42,60076,0,21,18,19,32,28,13,10,41,11,27,30,25,10,0,0,63,81,0
43,60077,0,14,25,29,17,20,7,6,29,8,34,26,17,0,0,0,53,63,0
44,60081,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,6,0
45,60083,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,10,8,0
46,60084,0,0,0,0,7,0,13,12,23,0,12,0,0,7,0,0,18,24,0
47,60085,17,54,54,82,74,42,18,0,31,36,101,14,0,159,0,0,174,166,0
48,60087,0,15,15,20,22,18,0,0,17,14,24,0,0,41,0,0,48,53,0
49,60088,0,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,6
50,60089,0,0,9,6,15,11,0,0,33,0,7,0,0,7,0,0,24,31,0
51,60090,0,8,16,14,17,14,0,0,15,0,12,6,11,24,0,0,32,41,0
52,60091,0,11,0,15,11,9,8,0,50,0,6,6,0,0,0,0,29,35,0
53,60093,0,18,8,18,20,6,0,0,46,0,14,6,0,7,0,0,39,35,0
54,60096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,60097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,60098,0,0,0,8,14,10,7,0,24,0,13,0,0,12,0,0,22,28,0
57,60099,0,17,19,18,20,15,9,0,13,28,21,6,0,36,0,0,53,50,0
58,60101,0,12,22,14,15,12,0,8,18,0,20,10,0,38,0,0,52,39,0
59,60102,0,0,7,0,8,0,0,0,18,0,0,0,0,0,0,0,19,10,0
60,60103,0,0,0,9,10,0,0,0,11,0,13,0,0,0,0,0,9,24,0
61,60104,6,12,10,31,26,19,27,6,6,99,26,0,0,0,0,0,60,77,0
62,60106,0,16,15,15,12,10,0,0,11,0,16,0,7,34,0,0,47,28,0
63,60107,0,6,12,10,18,8,0,0,15,0,23,0,0,15,0,0,29,29,0
64,60108,0,0,7,0,0,6,0,0,11,0,6,0,0,0,0,0,14,15,0
65,60110,0,0,7,0,6,0,0,0,0,0,9,0,0,6,0,0,13,10,0
66,60115,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,16,0
67,60118,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0
68,60119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,60120,0,8,8,11,9,9,0,0,20,0,14,0,0,15,0,0,28,25,0
70,60123,0,0,0,10,9,11,6,9,19,0,12,0,0,18,0,0,22,31,0
71,60124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
72,60126,0,6,7,16,10,8,9,8,35,0,9,9,0,0,0,0,33,32,0
73,60130,0,0,7,12,6,6,0,0,10,18,10,0,0,0,0,0,16,29,0
74,60131,0,0,13,11,6,11,0,0,20,0,15,0,0,16,0,0,24,30,0
75,60133,0,8,12,10,15,12,0,0,12,7,20,0,0,18,0,0,37,23,0
76,60134,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,0
77,60136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
78,60137,0,0,6,6,7,0,0,0,10,0,6,0,0,9,0,0,17,13,0
79,60139,0,7,10,13,12,7,0,0,0,0,13,0,8,22,0,0,27,26,0
